Time,Host_0,Host_1,Host_2,Host_3,Host_4,Host_5,Host_6,Host_7,Host_8,Host_9,Host_10,Host_11,Host_12,Host_13,Host_14,Host_15
5240,72.91666666666667,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5250,72.91666666666667,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5260,72.91666666666667,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5270,72.91666666666667,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5280,72.91666666666667,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5290,72.91666666666667,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5300,72.91666666666667,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5310,72.91666666666667,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5320,68.75,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5330,68.75,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5340,68.75,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5350,68.75,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5360,68.75,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5370,68.75,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5380,68.75,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5390,68.75,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5400,68.75,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5410,68.75,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5420,68.75,20.0,57.142857142857146,26.666666666666664,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5430,68.75,20.0,57.142857142857146,23.333333333333332,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5440,68.75,20.0,57.142857142857146,23.333333333333332,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5450,68.75,20.0,57.142857142857146,23.333333333333332,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5460,68.75,20.0,57.142857142857146,23.333333333333332,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5470,68.75,20.0,57.142857142857146,23.333333333333332,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5480,68.75,20.0,57.142857142857146,13.333333333333332,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5490,68.75,20.0,57.142857142857146,13.333333333333332,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5500,68.75,20.0,57.142857142857146,13.333333333333332,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5510,68.75,20.0,57.142857142857146,13.333333333333332,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5520,68.75,20.0,57.142857142857146,13.333333333333332,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5530,68.75,20.0,57.142857142857146,13.333333333333332,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5540,68.75,20.0,57.142857142857146,13.333333333333332,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5550,68.75,20.0,57.142857142857146,13.333333333333332,72.72727272727273,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5560,68.75,20.0,57.142857142857146,13.333333333333332,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5570,68.75,20.0,57.142857142857146,13.333333333333332,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5580,68.75,20.0,57.142857142857146,13.333333333333332,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5590,68.75,20.0,57.142857142857146,13.333333333333332,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5600,68.75,20.0,57.142857142857146,13.333333333333332,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5610,68.75,20.0,57.142857142857146,13.333333333333332,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5620,66.66666666666667,20.0,57.142857142857146,13.333333333333332,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5630,66.66666666666667,20.0,57.142857142857146,13.333333333333332,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5640,66.66666666666667,20.0,57.142857142857146,13.333333333333332,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5650,66.66666666666667,20.0,57.142857142857146,13.333333333333332,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5660,66.66666666666667,10.0,57.142857142857146,13.333333333333332,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5670,66.66666666666667,10.0,57.142857142857146,13.333333333333332,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5680,66.66666666666667,10.0,57.142857142857146,13.333333333333332,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5690,66.66666666666667,10.0,57.142857142857146,13.333333333333332,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5700,66.66666666666667,10.0,57.142857142857146,13.333333333333332,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5710,66.66666666666667,10.0,57.142857142857146,13.333333333333332,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5720,66.66666666666667,10.0,57.142857142857146,13.333333333333332,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5730,66.66666666666667,10.0,57.142857142857146,13.333333333333332,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5740,66.66666666666667,10.0,57.142857142857146,13.333333333333332,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5750,66.66666666666667,10.0,57.142857142857146,13.333333333333332,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5760,66.66666666666667,10.0,57.142857142857146,13.333333333333332,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5770,66.66666666666667,10.0,57.142857142857146,13.333333333333332,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5780,66.66666666666667,10.0,57.142857142857146,3.333333333333333,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5790,66.66666666666667,10.0,57.142857142857146,3.333333333333333,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5800,66.66666666666667,10.0,57.142857142857146,3.333333333333333,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5810,66.66666666666667,10.0,57.142857142857146,3.333333333333333,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5820,66.66666666666667,10.0,57.142857142857146,3.333333333333333,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5830,66.66666666666667,10.0,57.142857142857146,3.333333333333333,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5840,66.66666666666667,10.0,57.142857142857146,3.333333333333333,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5850,66.66666666666667,10.0,50.0,3.333333333333333,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5860,66.66666666666667,10.0,50.0,3.333333333333333,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5870,66.66666666666667,10.0,50.0,3.333333333333333,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5880,58.333333333333336,10.0,50.0,3.333333333333333,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5890,58.333333333333336,10.0,50.0,3.333333333333333,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5900,58.333333333333336,10.0,50.0,3.333333333333333,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5910,58.333333333333336,10.0,50.0,0.0,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5920,58.333333333333336,10.0,50.0,0.0,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5930,58.333333333333336,10.0,50.0,0.0,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5940,58.333333333333336,10.0,50.0,0.0,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5950,58.333333333333336,10.0,50.0,0.0,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5960,58.333333333333336,10.0,50.0,0.0,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5970,58.333333333333336,10.0,50.0,0.0,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5980,58.333333333333336,10.0,50.0,0.0,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5990,58.333333333333336,10.0,50.0,0.0,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000,58.333333333333336,10.0,50.0,0.0,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6010,58.333333333333336,10.0,50.0,0.0,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6020,58.333333333333336,10.0,50.0,0.0,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6030,58.333333333333336,10.0,50.0,0.0,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6040,58.333333333333336,10.0,50.0,0.0,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6050,58.333333333333336,10.0,50.0,0.0,63.63636363636363,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6060,58.333333333333336,10.0,50.0,0.0,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6070,58.333333333333336,10.0,50.0,0.0,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6080,58.333333333333336,10.0,50.0,0.0,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6090,58.333333333333336,10.0,50.0,0.0,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6100,58.333333333333336,10.0,50.0,0.0,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6110,58.333333333333336,10.0,50.0,0.0,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6120,58.333333333333336,10.0,42.857142857142854,0.0,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6130,58.333333333333336,10.0,42.857142857142854,0.0,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6140,58.333333333333336,10.0,42.857142857142854,0.0,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6150,58.333333333333336,10.0,42.857142857142854,0.0,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6160,58.333333333333336,10.0,42.857142857142854,0.0,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6170,58.333333333333336,10.0,42.857142857142854,0.0,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
