Time,Host_0,Host_1,Host_2,Host_3,Host_4,Host_5,Host_6,Host_7,Host_8,Host_9,Host_10,Host_11,Host_12,Host_13,Host_14,Host_15
6570,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,33.33333333333333,0.0,0.0,0.0,33.333333333333336
6580,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,33.33333333333333,0.0,0.0,0.0,33.333333333333336
6590,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,33.33333333333333,0.0,0.0,0.0,33.333333333333336
6600,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,33.33333333333333,0.0,0.0,0.0,33.333333333333336
6610,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,33.33333333333333,0.0,0.0,0.0,33.333333333333336
6620,50.0,25.0,50.0,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,33.33333333333333,0.0,0.0,0.0,33.333333333333336
6630,50.0,25.0,37.5,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,33.33333333333333,0.0,0.0,0.0,33.333333333333336
6640,50.0,25.0,37.5,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,33.33333333333333,0.0,0.0,0.0,33.333333333333336
6650,50.0,25.0,37.5,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,33.33333333333333,0.0,0.0,0.0,33.333333333333336
6660,50.0,25.0,37.5,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336
6670,50.0,25.0,37.5,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336
6680,50.0,25.0,37.5,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336
6690,50.0,25.0,37.5,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336
6700,50.0,25.0,37.5,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336
6710,50.0,25.0,37.5,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336
6720,50.0,25.0,37.5,14.285714285714286,12.5,50.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336
6730,50.0,25.0,37.5,14.285714285714286,12.5,50.0,66.66666666666667,16.666666666666668,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336
6740,50.0,25.0,37.5,14.285714285714286,12.5,50.0,66.66666666666667,16.666666666666668,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336
6750,50.0,25.0,37.5,14.285714285714286,12.5,50.0,66.66666666666667,16.666666666666668,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336
6760,50.0,25.0,37.5,14.285714285714286,12.5,50.0,66.66666666666667,16.666666666666668,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336
6770,50.0,25.0,37.5,14.285714285714286,12.5,50.0,66.66666666666667,16.666666666666668,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336
